index,year,image,name,inducted_members,prior_nominations,induction_presenter,artist,image_url,artist_url
78,1995,,Martha and the Vandellas,"Rosalind Ashford, Annette Beard, Betty Kelly, Lois Reeves, and Martha Reeves.[44]","2 (1989, 1994)",Fred Schneider and Kate Pierson,Martha and the Vandellas,/wiki/File:Martha_and_the_Vandellas_1965.JPG,/wiki/Martha_and_the_Vandellas
79,1995,,Neil Young,,First nomination; First year of eligibility,Eddie Vedder,Neil Young,/wiki/File:DesertTrip2016-140_(29685063324)_(cropped).jpg,/wiki/Neil_Young
80,1995,,Frank Zappa,,"2 (1993, 1994)",Lou Reed,Frank Zappa,/wiki/File:Zappa.jpg,/wiki/Frank_Zappa
81,1996,,David Bowie,,1 (1992),Madonna and David Byrne,David Bowie,/wiki/File:David-Bowie_Chicago_2002-08-08_photoby_Adam-Bielawski-cropped.jpg,/wiki/David_Bowie
82,1996,,Gladys Knight & the Pips,"William Guest, Gladys Knight, Merald ""Bubba"" Knight, and Edward Patten.[45]","3 (1987, 1989, 1990)",Mariah Carey,Gladys Knight & the Pips,/wiki/File:DN-SC-82-07155.jpg,/wiki/Gladys_Knight_%26_the_Pips
83,1996,,Jefferson Airplane,"Marty Balin, Jack Casady, Spencer Dryden, Paul Kantner, Jorma Kaukonen, and Grace Slick.[46]",1 (1995),Mickey Hart and Phil Lesh,Jefferson Airplane,/wiki/File:Jefferson_Airplane.jpg,/wiki/Jefferson_Airplane
84,1996,,Little Willie John,,"7 (1986, 1987, 1988, 1989, 1990, 1993, 1995)",Stevie Wonder,Little Willie John,/wiki/File:Little_Willie_John.jpg,/wiki/Little_Willie_John
85,1996,,Pink Floyd,"Syd Barrett, David Gilmour, Nick Mason, Roger Waters, and Rick Wright.[47]",1 (1994),Billy Corgan,Pink Floyd,"/wiki/File:Pink_Floyd,_1971.jpg",/wiki/Pink_Floyd
86,1996,,The Shirelles,"Shirley Alston Reeves, Addie Harris, Doris Kenner-Jackson, and Beverly Lee.[48]","2 (1990, 1995)","Merry Clayton, Marianne Faithfull and Darlene Love",The Shirelles,/wiki/File:The_Shirelles_1962.jpg,/wiki/The_Shirelles
87,1996,,The Velvet Underground,"John Cale, Sterling Morrison, Lou Reed, and Maureen Tucker.[49]","4 (1992, 1993, 1994, 1995)",Patti Smith,The Velvet Underground,/wiki/File:Velvet_Underground_%26_Nico_publicity_photo_(retouched).jpg,/wiki/The_Velvet_Underground
88,1997,,Bee Gees,"Barry Gibb, Maurice Gibb, and Robin Gibb.[50]",1 (1996),Brian Wilson,Bee Gees,/wiki/File:Bee_Gees_1977.JPG,/wiki/Bee_Gees
89,1997,,Buffalo Springfield,"Richie Furay, Dewey Martin, Bruce Palmer, Stephen Stills, and Neil Young.[51]","4 (1992, 1993, 1994, 1995)",Tom Petty,Buffalo Springfield,/wiki/File:Buffalo_Springfield_in_1966.png,/wiki/Buffalo_Springfield
90,1997,,"Crosby, Stills & Nash","David Crosby, Graham Nash, and Stephen Stills.[52]",First nomination,James Taylor,"Crosby, Stills & Nash",/wiki/File:CSNY_8-1974_(1).jpg,"/wiki/Crosby,_Stills,_Nash_%26_Young"
91,1997,,The Jackson 5,"Jackie Jackson, Jermaine Jackson, Marlon Jackson, Michael Jackson, and Tito Jackson.[53]","3 (1994, 1995, 1996)",Diana Ross,The Jackson 5,/wiki/File:Jackson_5_tv_special_1972.JPG,/wiki/The_Jackson_5
92,1997,,Joni Mitchell,,"2 (1994, 1995)",Shawn Colvin,Joni Mitchell,/wiki/File:Joni_Mitchell_1983.jpg,/wiki/Joni_Mitchell
93,1997,,Parliament-Funkadelic,"Jerome Brailey, George Clinton, Bootsy Collins, Raymond Davis, Tiki Fulwood, Glenn Goins, Michael Hampton, Fuzzy Haskins, Eddie Hazel, Walter Morrison, Cordell Mosson, William ""Billy Bass"" Nelson, Garry Shider, Calvin Simon, Grady Thomas, and Bernie Worrell.[54]","2 (1995, 1996)",Prince,Parliament-Funkadelic,/wiki/File:George_Clinton_2006.jpg,/wiki/Parliament-Funkadelic
94,1997,,The (Young) Rascals,"Eddie Brigati, Felix Cavaliere, Gene Cornish, and Dino Danelli.[55]","3 (1993, 1994, 1996)",Steven Van Zandt,The Rascals,/wiki/File:The_Rascals_1969.JPG,/wiki/The_Rascals
95,1998,,Eagles,"Don Felder, Glenn Frey, Don Henley, Bernie Leadon, Randy Meisner, Timothy B. Schmit, and Joe Walsh.[56]",First nomination; First year of eligibility,Jimmy Buffett,Eagles,/wiki/File:Eagles.jpg,/wiki/Eagles_(band)
96,1998,,Fleetwood Mac,"Lindsey Buckingham, Mick Fleetwood, Peter Green, Danny Kirwan, Christine McVie, John McVie, Stevie Nicks, and Jeremy Spencer.[57]",First nomination,Sheryl Crow,Fleetwood Mac,/wiki/File:Fleetwood_Mac_Billboard_1977.jpg,/wiki/Fleetwood_Mac
97,1998,,The Mamas & the Papas,"Denny Doherty, Cass Elliot, John Phillips, and Michelle Phillips.[58]",1 (1997),Shania Twain,The Mamas & the Papas,/wiki/File:The_Mamas_and_the_Papas_Ed_Sullivan_Show_1968.JPG,/wiki/The_Mamas_%26_the_Papas
98,1998,,Lloyd Price,,"6 (1986, 1987, 1988, 1989, 1996, 1997)",Tony Rich,Lloyd Price,/wiki/File:LloydPrice1996.jpg,/wiki/Lloyd_Price
99,1998,,Santana,"Jose Chepito Areas, David Brown, Michael Carabello, Gregg Rolie, Carlos Santana, and Michael Shrieve.[59]",First nomination,John Popper,Santana,/wiki/File:Santana_(1971).png,/wiki/Santana_(band)
100,1998,,Gene Vincent,,"6 (1986, 1987, 1988, 1989, 1990, 1991)",John Fogerty,Gene Vincent,/wiki/File:Gene_Vincent_1957.JPG,/wiki/Gene_Vincent
101,1998,,Gene Vincent,,"6 (1986, 1987, 1988, 1989, 1990, 1991)",John Fogerty,Gene Vincent,/wiki/File:Gene_Vincent_photo.jpg,/wiki/Gene_Vincent
102,1999,,Billy Joel,,1 (1998),Ray Charles,Billy Joel,/wiki/File:Billy_Joel_-_Perth_7_November_2006.jpg,/wiki/Billy_Joel
103,1999,,Curtis Mayfield,,First nomination,Sean Combs,Curtis Mayfield,/wiki/File:Curtis_Mayfield.png,/wiki/Curtis_Mayfield
104,1999,,Paul McCartney,,First nomination,Neil Young,Paul McCartney,/wiki/File:Paul_McCartney_black_and_white_2010.jpg,/wiki/Paul_McCartney
105,1999,,Del Shannon[60],,"5 (1987, 1988, 1989, 1990, 1998)",Art Alexakis,Del Shannon,/wiki/File:Del_Shannon_1965.jpg,/wiki/Del_Shannon
106,1999,,Dusty Springfield[61],,1 (1998),Elton John,Dusty Springfield,/wiki/File:Dusty_Springfield.png,/wiki/Dusty_Springfield
107,1999,,Bruce Springsteen,,First nomination; First year of eligibility,Bono,Bruce Springsteen,/wiki/File:Bruce_Springsteen_-_Roskilde_Festival_2012.jpg,/wiki/Bruce_Springsteen
108,1999,,The Staple Singers,"Cleotha Staples, Mavis Staples, Pervis Staples, Pops Staples, and Yvonne Staples.[62]",First nomination,Lauryn Hill,The Staple Singers,/wiki/File:Staple_Singers_on_Soul_Train.jpg,/wiki/The_Staple_Singers
109,2000,,Eric Clapton,,First nomination,Robbie Robertson,Eric Clapton,/wiki/File:Eric_Clapton_2.jpg,/wiki/Eric_Clapton
110,2000,,"Earth, Wind & Fire","Philip Bailey, Larry Dunn, Johnny Graham, Ralph Johnson, Al McKay, Fred White, Maurice White, Verdine White, and Andrew Woolfolk.[63]",1 (1998),Lil Kim,"Earth, Wind & Fire","/wiki/File:Earth,_Wind_%26_Fire_(2).jpg","/wiki/Earth,_Wind_%26_Fire"
111,2000,,The Lovin' Spoonful,"Steve Boone, Joe Butler, John Sebastian, and Zal Yanovsky.[64]",First nomination,John Mellencamp,The Lovin' Spoonful,/wiki/File:Lovin_Spoonful_1965.jpg,/wiki/The_Lovin%27_Spoonful
112,2000,,The Moonglows,"Prentiss Barnes, Harvey Fuqua, Peter Graves, Billy Johnson, and Bobby Lester.[65]","6 (1991, 1994, 1996, 1997, 1998, 1999)",Paul Simon,The Moonglows,/wiki/File:The_Moonglows_1956.jpg,/wiki/The_Moonglows
113,2000,,Bonnie Raitt,,First nomination,Melissa Etheridge,Bonnie Raitt,/wiki/File:Bonnie_Raitt_2000.jpg,/wiki/Bonnie_Raitt
114,2000,,James Taylor,,First nomination,Paul McCartney,James Taylor,/wiki/File:James_Taylor_-_Columbia.jpg,/wiki/James_Taylor
115,2001,,Aerosmith,"Tom Hamilton, Joey Kramer, Joe Perry, Steven Tyler, and Brad Whitford.[66]",1 (2000),Kid Rock,Aerosmith,/wiki/File:Aerosmith_member.png,/wiki/Aerosmith
116,2001,,Solomon Burke,,"8 (1987, 1989, 1990, 1996, 1997, 1998, 1999, 2000)",Mary J. Blige,Solomon Burke,/wiki/File:Solomon_Burke.jpg,/wiki/Solomon_Burke
117,2001,,The Flamingos,"Jake Carey, Zeke Carey, Johnny Carter, Tommy Hunt, Terry ""Buzzy"" Johnson, Sollie McElroy, Nate Nelson, and Paul Wilson.[67]","4 (1987, 1996, 1999, 2000)",Frankie Valli,The Flamingos,/wiki/File:The_Flamingos_-_1957.jpg,/wiki/The_Flamingos
118,2001,,Michael Jackson,,First nomination,NSYNC,Michael Jackson,/wiki/File:Michael_Jackson_in_1988.jpg,/wiki/Michael_Jackson
119,2001,,Queen,"John Deacon, Brian May, Freddie Mercury, and Roger Taylor.[68]",1 (2000),Dave Grohl and Taylor Hawkins,Queen,/wiki/File:Queen_A_Night_At_The_Opera_(1975_Elektra_publicity_photo_02).jpg,/wiki/Queen_(band)
120,2001,,Paul Simon,,First nomination,Marc Anthony,Paul Simon,/wiki/File:Paul_Simon_in_1982.jpg,/wiki/Paul_Simon
121,2001,,Steely Dan,Walter Becker and Donald Fagen.[69],"2 (1999, 2000)",Moby,Steely Dan,/wiki/File:Becker_%26_Fagen_of_Steely_Dan_at_Pori_Jazz_2007.jpg,/wiki/Steely_Dan
122,2001,,Ritchie Valens,,"2 (1999, 2000)",Ricky Martin,Ritchie Valens,/wiki/File:Ritchie_Valens_1959_press_photo.jpg,/wiki/Ritchie_Valens
123,2002,,Isaac Hayes,,First nomination,Alicia Keys,Isaac Hayes,/wiki/File:Issac_Hayes_1971_press_photo.jpg,/wiki/Isaac_Hayes
124,2002,,Brenda Lee,,"2 (1990, 2001)",Jewel,Brenda Lee,/wiki/File:Brenda_Lee_1977.JPG,/wiki/Brenda_Lee
125,2002,,Tom Petty and the Heartbreakers,"Tom Petty, Ron Blair, Mike Campbell, Howie Epstein, Stan Lynch, and Benmont Tench.[70]",First nomination; First year of eligibility,Jakob Dylan,Tom Petty and the Heartbreakers,/wiki/File:Tom_Petty_and_the_Heartbreakers_1977.jpg,/wiki/Tom_Petty_and_the_Heartbreakers
126,2002,,Gene Pitney[71],,"6 (1989, 1990, 1992, 1997, 1998, 1999)",Darlene Love,Gene Pitney,/wiki/File:Gene_Pitney_1967.JPG,/wiki/Gene_Pitney
127,2002,,Ramones,"Dee Dee Ramone, Joey Ramone, Johnny Ramone, Marky Ramone, and Tommy Ramone.[72]",First nomination; First year of eligibility,Eddie Vedder,Ramones,/wiki/File:Ramones_rocket_to_russia_photo.jpg,/wiki/Ramones
128,2002,,Talking Heads,"David Byrne, Chris Frantz, Jerry Harrison, and Tina Weymouth.[73]",First nomination; First year of eligibility,Anthony Kiedis,Talking Heads,/wiki/File:Talking_Heads_Remain_In_Light_(1980_Sire_publicity_photo).jpg,/wiki/Talking_Heads
129,2003,,AC/DC,"Brian Johnson, Phil Rudd, Bon Scott, Cliff Williams, Angus Young, and Malcolm Young.[74]","2 (2001, 2002)",Steven Tyler,AC/DC,/wiki/File:ACDC_In_Tacoma_2009.jpg,/wiki/AC/DC
130,2003,,The Clash,"Terry Chimes, Topper Headon, Mick Jones, Paul Simonon, and Joe Strummer.[75]",First nomination; First year of eligibility,The Edge and Tom Morello,The Clash,/wiki/File:Clash_21051980_12_800.jpg,/wiki/The_Clash
131,2003,,Elvis Costello & the Attractions,"Elvis Costello, Steve Nieve, Bruce Thomas, and Pete Thomas.[76]",First nomination; First year of eligibility,Elton John,Elvis Costello & the Attractions,/wiki/File:Elvis_Costello_2012.JPG,/wiki/Elvis_Costello_%26_the_Attractions
132,2003,,The Police,"Stewart Copeland, Sting, and Andy Summers.[77]",First nomination; First year of eligibility,Gwen Stefani,The Police,/wiki/File:The_Police_%22Reggatta_de_Blanc%22_(1979_A%26M_publicity_photo).jpg,/wiki/The_Police
133,2003,,The Righteous Brothers,Bobby Hatfield and Bill Medley.[78],First nomination,Billy Joel,The Righteous Brothers,/wiki/File:TheRighteousBrothersperformingKBF.jpg,/wiki/The_Righteous_Brothers
134,2004,,Jackson Browne[79],,1 (2002),Bruce Springsteen,Jackson Browne,/wiki/File:Jackson_Browne-1980.jpg,/wiki/Jackson_Browne
135,2004,,The Dells,"Verne Allison, Chuck Barksdale, Johnny Carter, Johnny Funches, Marvin Junior, and Michael McGill.[80]","2 (2002, 2003)",Robert Townsend,The Dells,/wiki/File:The_Dells.png,/wiki/The_Dells
136,2004,,George Harrison,,First nomination,Tom Petty and Jeff Lynne,George Harrison,/wiki/File:George_Harrison_1974_(cropped).jpg,/wiki/George_Harrison
137,2004,,Prince,,First nomination; First year of eligibility,Outkast and Alicia Keys,Prince,/wiki/File:Prince_1981.jpg,/wiki/Prince_(musician)
138,2004,,Bob Seger,,1 (2001),Kid Rock,Bob Seger,/wiki/File:Bob_Seger_1977.JPG,/wiki/Bob_Seger
139,2004,,Traffic,"Jim Capaldi, Dave Mason, Steve Winwood, and Chris Wood.[81]",First nomination,Dave Matthews,Traffic,/wiki/File:Traffic_1973.jpg,/wiki/Traffic_(band)
141,2004,,ZZ Top,"Frank Beard, Billy Gibbons, and Dusty Hill.[82]",First nomination,Keith Richards,ZZ Top,/wiki/File:ZZ_Top_Live.jpg,/wiki/ZZ_Top
142,2005,,Buddy Guy,,First nomination,Eric Clapton and B.B. King,Buddy Guy,/wiki/File:Buddy_Guy_2008_(3x4_cropped).jpg,/wiki/Buddy_Guy
143,2005,,The O'Jays,"Eddie Levert, Bobby Massey, William Powell, Sammy Strain, and Walter Williams.[83]",1 (2000),Justin Timberlake,The O'Jays,/wiki/File:The_O%27Jays-photo-by-raymond-boyd.jpg,/wiki/The_O%27Jays
144,2005,,The Pretenders,"Martin Chambers, Pete Farndon, James Honeyman-Scott, and Chrissie Hynde.[84]",First nomination; First year of eligibility,Neil Young,The Pretenders,/wiki/File:The_Pretenders_Learning_To_Crawl_(1984_Sire_publicity_photo).jpg,/wiki/The_Pretenders
145,2005,,Percy Sledge,,First nomination,Rod Stewart,Percy Sledge,/wiki/File:Percy_Sledge_at_the_Alabama_Music_Hall_of_Fame_Concert.jpg,/wiki/Percy_Sledge
146,2005,,U2,"Bono, Adam Clayton, The Edge, and Larry Mullen, Jr.[85]",First nomination; First year of eligibility,Bruce Springsteen,U2,/wiki/File:U2_performing_on_Experience_and_Innocence_Tour_in_London_10-24-18_(3).jpg,/wiki/U2
147,2006,,Black Sabbath,"Geezer Butler, Tony Iommi, Ozzy Osbourne, and Bill Ward.[86]","7 (1997, 1999, 2000, 2001, 2002, 2003, 2004)",James Hetfield and Lars Ulrich,Black Sabbath,/wiki/File:Sabs.jpg,/wiki/Black_Sabbath
148,2006,,Blondie,"Clem Burke, Jimmy Destri, Nigel Harrison, Debbie Harry, Frank Infante, Chris Stein, and Gary Valentine.[87]",First nomination,Shirley Manson,Blondie,/wiki/File:Blondie1977.jpg,/wiki/Blondie_(band)
149,2006,,Miles Davis[88],,First nomination,Herbie Hancock,Miles Davis,/wiki/File:Miles_Davis_by_Palumbo.jpg,/wiki/Miles_Davis
150,2006,,Lynyrd Skynyrd,"Bob Burns, Allen Collins, Steve Gaines, Ed King, Billy Powell, Artimus Pyle, Gary Rossington, Ronnie Van Zant, and Leon Wilkeson.[89]","6 (1997, 2001, 2002, 2003, 2004, 2005)",Kid Rock,Lynyrd Skynyrd,/wiki/File:Lynyrd_Skynyrd_(1977).jpg,/wiki/Lynyrd_Skynyrd
151,2006,,Sex Pistols,"Paul Cook, Steve Jones, Glen Matlock, John Lydon, and Sid Vicious.[90]","4 (2002, 2003, 2004, 2005)",Jann Wenner,Sex Pistols,/wiki/File:Sex_Pistols_in_Paradiso.jpg,/wiki/Sex_Pistols
152,2007,,Grandmaster Flash and the Furious Five,"Melvin ""Melle Mel"" Glover, Nathaniel ""The Kidd Creole"" Glover, Eddie ""Scorpio"" Morris, Joseph ""Grandmaster Flash"" Sadler, Robert Keith ""Keef Cowboy"" Wiggins, and Guy Todd ""Rahiem"" Williams.[91]","2 (2005, 2006)",Jay-Z,Grandmaster Flash and the Furious Five,/wiki/File:Grandmaster_Flash_and_The_Furious_Five_(1982_Sugar_Hill_Press_Photo).jpg,/wiki/Grandmaster_Flash_and_the_Furious_Five
153,2007,,R.E.M.,"Bill Berry, Peter Buck, Mike Mills, and Michael Stipe.[92]",First nomination; First year of eligibility,Eddie Vedder,R.E.M.,/wiki/File:Padova_REM_concert_July_22_2003_blue.jpg,/wiki/R.E.M.
154,2007,,The Ronettes,"Estelle Bennett, Ronnie Spector, and Nedra Talley.[93]",First nomination,Keith Richards,The Ronettes,/wiki/File:The_Ronettes.JPG,/wiki/The_Ronettes
155,2007,,Patti Smith[94],,"6 (2001, 2002, 2003, 2004, 2005, 2006)",Zack de la Rocha,Patti Smith,"/wiki/File:Patti_Smith,_1978_(cropped).jpg",/wiki/Patti_Smith
156,2007,,Van Halen,"Michael Anthony, Sammy Hagar, David Lee Roth, Alex Van Halen, and Eddie Van Halen.[95]",First nomination,Velvet Revolver,Van Halen,/wiki/File:Van_Halen_Lineup_1984.jpg,/wiki/Van_Halen
157,2008,,The Dave Clark Five,"Dave Clark, Lenny Davidson, Rick Huxley, Denis Payton, and Mike Smith.[96]","2 (2006, 2007)",Tom Hanks,The Dave Clark Five,/wiki/File:Dave_Clark_Five_1964.JPG,/wiki/The_Dave_Clark_Five
158,2008,,Leonard Cohen,,First nomination,Lou Reed,Leonard Cohen,"/wiki/File:Leonard_Cohen,_1988_01.jpg",/wiki/Leonard_Cohen
159,2008,,Madonna,,First nomination; First year of eligibility,Justin Timberlake,Madonna,/wiki/File:Rebel_Heart_3_(cropped).jpg,/wiki/Madonna
160,2008,,John Mellencamp,,"2 (2004, 2006)",Billy Joel,John Mellencamp,/wiki/File:John_Mellenkamp_2007_(cropped).jpg,/wiki/John_Mellencamp
161,2008,,The Ventures,"Bob Bogle, Nokie Edwards, Gerry McGee, Mel Taylor, and Don Wilson.[97]",First nomination,John Fogerty,The Ventures,/wiki/File:The_Ventures.png,/wiki/The_Ventures
162,2009,,Jeff Beck,,First nomination,Jimmy Page,Jeff Beck,/wiki/File:Early_Jeff_Beck.jpg,/wiki/Jeff_Beck
163,2009,,Little Anthony and the Imperials,"Clarence Collins, Anthony Gourdine, Tracy Lord, Glouster ""Nat"" Rogers, Sammy Strain, and Ernest Wright Jr.[98]",First nomination,Smokey Robinson,Little Anthony and the Imperials,/wiki/File:Imperials.jpg,/wiki/Little_Anthony_and_the_Imperials
164,2009,,Metallica,"Cliff Burton, Kirk Hammett, James Hetfield, Jason Newsted, Robert Trujillo, and Lars Ulrich.[99]",First nomination,Flea,Metallica,/wiki/File:Metallica_March_2024.jpg,/wiki/Metallica
165,2009,,Run-DMC,"Darryl ""D.M.C."" McDaniels, Jason ""Jam-Master Jay"" Mizell, and Joseph ""DJ Run"" Simmons.[100]",First nomination; First year of eligibility,Eminem,Run-DMC,/wiki/File:Run_DMC_(cropped).png,/wiki/Run-DMC
166,2009,,Bobby Womack,,First nomination,Ron Wood,Bobby Womack,/wiki/File:Bobby_Womack_-_Roskilde_Festival_2010_(cropped).jpg,/wiki/Bobby_Womack
167,2010,,ABBA,"Benny Andersson, Agnetha Fältskog, Anni-Frid Lyngstad, and Björn Ulvaeus.[101]",1 (2003),Barry and Robin Gibb,ABBA,/wiki/File:ABBA_-_TopPop_1974_5.png,/wiki/ABBA
168,2010,,Jimmy Cliff[102],,First nomination,Wyclef Jean,Jimmy Cliff,/wiki/File:JimmyCliff.jpg,/wiki/Jimmy_Cliff
169,2010,,Genesis,"Tony Banks, Phil Collins, Peter Gabriel, Steve Hackett, and Mike Rutherford.[103]",First nomination,Trey Anastasio,Genesis,/wiki/File:2180_-_Pittsburgh_-_Mellon_Arena_-_Genesis_-_The_Carpet_Crawlers.JPG,/wiki/Genesis_(band)
170,2010,,The Hollies,"Bernie Calvert, Allan Clarke, Bobby Elliott, Eric Haydock, Tony Hicks, Graham Nash, and Terry Sylvester.[104]",First nomination,Steven Van Zandt,The Hollies,/wiki/File:The_Hollies_(1965).png,/wiki/The_Hollies
171,2010,,The Stooges,"Dave Alexander, Ron Asheton, Scott Asheton, Iggy Pop, and James Williamson.[105]","7 (1997, 1998, 2004, 2005, 2006, 2007, 2009)",Billie Joe Armstrong,The Stooges,"/wiki/File:The_Stooges_%26_Iggy_Pop,_Poland,_Katowice_Off_Festval_2012-08-04.JPG",/wiki/The_Stooges
172,2011,,Alice Cooper,"Alice Cooper, Michael Owen Bruce, Glen Buxton, Dennis Dunaway, and Neal Smith.[106]",First nomination,Rob Zombie,Alice Cooper,/wiki/File:Alice_Cooper_Killer_Tour_1972.jpg,/wiki/Alice_Cooper_(band)
173,2011,,Neil Diamond,,First nomination,Paul Simon,Neil Diamond,/wiki/File:1afin-2795f.jpg,/wiki/Neil_Diamond
174,2011,,Dr. John,,First nomination,John Legend,Dr. John,/wiki/File:Dr._John_2.jpg,/wiki/Dr._John
175,2011,,Darlene Love,,"2 (1999, 2010)",Bette Midler,Darlene Love,/wiki/File:Darlene_Love_2013.jpg,/wiki/Darlene_Love
176,2011,,Tom Waits,,First nomination,Neil Young,Tom Waits,/wiki/File:Tom_Waits_(1974%E2%80%9375_Asylum_publicity_photo_-_headshot).jpg,/wiki/Tom_Waits
177,2012,,Beastie Boys,"Michael ""Mike D"" Diamond, Adam ""Ad-Rock"" Horovitz, and Adam ""MCA"" Yauch.[107]","2 (2008, 2011)",Chuck D and LL Cool J,Beastie Boys,/wiki/File:Beastie_Boys_2009_(6184423405).jpg,/wiki/Beastie_Boys
178,2012,,The Blue Caps[N1],"Backing band for Gene Vincent. Inducted: Tommy Facenda, Cliff Gallup, Dickie Harrell, Bobby Jones, Johnny Meeks, Jack Neal, Paul Peek, and Willie Williams.[108][N6]",,Smokey Robinson,The Blue Caps,/wiki/File:Gene_Vincent_photo.jpg,/wiki/Gene_Vincent
179,2012,,The Comets[N1],"Backing band for Bill Haley. Inducted: Joey Ambrose, Franny Beecher, Danny Cedrone, Johnny Grande, Ralph Jones, Marshall Lytle, Rudy Pompilli, Al Rex, Dick Richards, and Billy Williamson.[109][N6]",,Smokey Robinson,The Comets,/wiki/File:BillHaley.JPG,/wiki/Bill_Haley_%26_His_Comets
180,2012,,The Crickets[N1],"Backing band for Buddy Holly. Inducted: Jerry Allison, Sonny Curtis, Joe B. Mauldin, and Niki Sullivan.[110][N6]",,Smokey Robinson,The Crickets,/wiki/File:Buddy_Holly_and_The_Crickets_1957.JPG,/wiki/The_Crickets
181,2012,,Donovan[111],,1 (2011),John Mellencamp,Donovan,/wiki/File:Donovan_1969.JPG,/wiki/Donovan
182,2012,,The Famous Flames[N1],"Backing vocal group for James Brown. Inducted: Bobby Bennett, Bobby Byrd, Lloyd Stallworth, and Johnny Terry.[112][N6]",,Smokey Robinson,The Famous Flames,/wiki/File:James_Brown_and_Flames.jpg,/wiki/The_Famous_Flames
183,2012,,Guns N' Roses,"Steven Adler, Duff McKagan, Dizzy Reed, Axl Rose, Slash, Matt Sorum, and Izzy Stradlin.[113]",First nomination; First year of eligibility,Green Day,Guns N' Roses,/wiki/File:Gnr_rrhof.jpg,/wiki/Guns_N%27_Roses
184,2012,,The Midnighters[N1],"Backing vocal group for Hank Ballard. Inducted: Henry Booth, Billy Davis, Cal Green, Arthur Porter, Lawson Smith, Charles Sutton, Norman Thrasher, and Sonny Woods.[114][N6]",,Smokey Robinson,The Midnighters,"/wiki/File:Hank_Ballard_and_the_Midnighters,_1982-05-11c.jpg",/wiki/The_Midnighters
185,2012,,The Miracles[N1],"Backing vocal group for Smokey Robinson. Inducted: Claudette Rogers, Bobby Rogers, Ronald White, Marv Tarplin, and Pete Moore.[115][N6]",,Smokey Robinson,The Miracles,/wiki/File:Smokey_Robinson_%26_the_Miracles.png,/wiki/The_Miracles
186,2012,,Laura Nyro[116],,"2 (2010, 2011)",Bette Midler,Laura Nyro,/wiki/File:Laura_nyro_1968_2.png,/wiki/Laura_Nyro
187,2012,,Red Hot Chili Peppers,"Flea, John Frusciante, Jack Irons, Anthony Kiedis, Josh Klinghoffer, Cliff Martinez, Hillel Slovak, and Chad Smith.[117]",1 (2010),Chris Rock,Red Hot Chili Peppers,/wiki/File:Rhcp-live-pinkpop05.jpg,/wiki/Red_Hot_Chili_Peppers
188,2012,,The Small Faces / Faces,"Kenney Jones, Ronnie Lane, Ian McLagan, Steve Marriott, Rod Stewart, and Ronnie Wood.[118]",First nomination,Steven Van Zandt,The Small Faces / Faces,/wiki/File:The_Faces_(1970).png,/wiki/Faces_(band)
189,2013,,Heart,"Michael DeRosier, Roger Fisher, Steve Fossen, Howard Leese, Ann Wilson, and Nancy Wilson.[119]",1 (2012),Chris Cornell,Heart,"/wiki/File:VH1_Divas_Salute_the_Troops,_Heart.jpg",/wiki/Heart_(band)
190,2013,,Albert King,,First nomination,John Mayer,Albert King,/wiki/File:Albert_King_1978.jpg,/wiki/Albert_King
191,2013,,Randy Newman,,1 (2005),Don Henley,Randy Newman,/wiki/File:Randy_Newman_(1972).png,/wiki/Randy_Newman
192,2013,,Public Enemy,"Flavor Flav, Professor Griff, Terminator X, and Chuck D.[120]",First nomination; First year of eligibility,Harry Belafonte and Spike Lee,Public Enemy,/wiki/File:Public_Enemy_@_Sir_Stewart_Bovell_Park_(2_1_2011)_(5356059653).jpg,/wiki/Public_Enemy
193,2013,,Rush,"Geddy Lee, Alex Lifeson, and Neil Peart.[121]",First nomination,Dave Grohl and Taylor Hawkins,Rush,/wiki/File:Rush-in-concert.jpg,/wiki/Rush_(band)
194,2013,,Donna Summer,,"4 (2008, 2010, 2011, 2012)",Kelly Rowland,Donna Summer,/wiki/File:Donna_Summer_(1977_Casablanca_publicity_headshot).jpg,/wiki/Donna_Summer
195,2014,,Peter Gabriel,,First nomination,Chris Martin,Peter Gabriel,/wiki/File:Peter_Gabriel_Allan_Warren.jpg,/wiki/Peter_Gabriel
196,2014,,Hall & Oates,Daryl Hall and John Oates.[122],First nomination,Questlove,Hall & Oates,/wiki/File:Daryl_Hall_and_John_Oates_%22Voices%22_(1980_RCA_press_photo).jpg,/wiki/Hall_%26_Oates
197,2014,,Kiss,"Peter Criss, Ace Frehley, Gene Simmons, and Paul Stanley.[123]",1 (2010),Tom Morello,Kiss,/wiki/File:Kiss_Love_Gun_era.png,/wiki/Kiss_(band)
198,2014,,Nirvana,"Kurt Cobain, Dave Grohl, and Krist Novoselic.[124]",First nomination; First year of eligibility,Michael Stipe,Nirvana,/wiki/File:Nirvana_around_1992.jpg,/wiki/Nirvana_(band)
199,2014,,Linda Ronstadt,,First nomination,Glenn Frey,Linda Ronstadt,/wiki/File:Linda_Ronstadt_1976.jpg,/wiki/Linda_Ronstadt
200,2014,,Cat Stevens,,1 (2006),Art Garfunkel,Cat Stevens,/wiki/File:Cat_Stevens_(1972).png,/wiki/Cat_Stevens
