index,year,image,name,inducted_members,prior_nominations,induction_presenter,artist,image_url,artist_url
247,2022,,Lionel Richie[173][178],,First nomination,Lenny Kravitz,Lionel Richie,/wiki/File:Lionel_Richie_2019.jpg,/wiki/Lionel_Richie
248,2022,,Carly Simon[173][179],,First nomination,Sara Bareilles,Carly Simon,/wiki/File:Carly_Simon_-_1978.jpg,/wiki/Carly_Simon
249,2023,,Kate Bush[180][181],,"3 (2018, 2021, 2022)",Big Boi,Kate Bush,/wiki/File:Kate_Bush_Hounds_of_Love_(1985_EMI_publicity_photo)_02_(cropped).jpg,/wiki/Kate_Bush
250,2023,,Sheryl Crow[180][182],,First nomination,Laura Dern,Sheryl Crow,/wiki/File:SherlCrowBourbon220918-34_(46953050345)_(cropped).jpg,/wiki/Sheryl_Crow
251,2023,,Missy Elliott[180][183],,First nomination; First year of eligibility,Queen Latifah,Missy Elliott,/wiki/File:Missy_Elliot.jpg,/wiki/Missy_Elliott
252,2023,,George Michael[180][184],,First nomination,Andrew Ridgeley,George Michael,/wiki/File:George_Michael_(cropped).jpeg,/wiki/George_Michael
253,2023,,Willie Nelson[180][185],,First nomination,Dave Matthews,Willie Nelson,/wiki/File:Willie_Nelson-14_(29827125591)_(cropped).jpg,/wiki/Willie_Nelson
254,2023,,Rage Against the Machine[180],"Tim Commerford, Zack de la Rocha, Tom Morello, and Brad Wilk.[186]","4 (2018, 2019, 2021, 2022)",Ice-T,Rage Against the Machine,/wiki/File:Rage_Against_The_Machine_(cropped).jpg,/wiki/Rage_Against_the_Machine
255,2023,,The Spinners[180],"John Edwards, Henry Fambrough, Billy Henderson, Pervis Jackson, Bobby Smith, and Philippé Wynne.[187]","3 (2012, 2015, 2016)",None,The Spinners,/wiki/File:The_Spinners_(1965).png,/wiki/The_Spinners_(American_group)
256,2024,,Mary J. Blige[188],,1 (2021),Dr. Dre and Method Man,Mary J. Blige,/wiki/File:JBligeliveSeptember2010_(cropped).jpg,/wiki/Mary_J._Blige
257,2024,,Cher[188],,First nomination,Zendaya,Cher,/wiki/File:Cher_-_Casablanca.jpg,/wiki/Cher
258,2024,,Dave Matthews Band[188],"Carter Beauford, Jeff Coffin, Stefan Lessard, Dave Matthews, LeRoi Moore, Tim Reynolds, Rashawn Ross, Buddy Strong, and Boyd Tinsley.[190]",1 (2020),Julia Roberts,Dave Matthews Band,/wiki/File:Dave_Matthews_Band_-_Band_Shot_Melbourne_2005.jpg,/wiki/Dave_Matthews_Band
259,2024,,Foreigner[188],"Dennis Elliott, Ed Gagliardi, Lou Gramm, Al Greenwood, Mick Jones, Ian McDonald, and Rick Wills.[190]",First nomination,Sammy Hagar,Foreigner,/wiki/File:Foreigner_Head_Games_(1979_Atlantic_publicity_photo).jpg,/wiki/Foreigner_(band)
260,2024,,Peter Frampton[188],,First nomination,Roger Daltrey,Peter Frampton,/wiki/File:FramptonRAH081122_(7_of_24)_(52495439543)_(cropped).jpg,/wiki/Peter_Frampton
261,2024,,Kool & the Gang[188],"Robert ""Kool"" Bell, Ronald Bell, George Brown, Robert ""Spike"" Mickens, Claydes Charles Smith, James ""J.T."" Taylor, Dennis ""Dee Tee"" Thomas, and Ricky Westfield.[190]",First nomination,Chuck D,Kool & the Gang,/wiki/File:Kool_%26_the_Gang_-_Leverkusener_Jazztage_2017-1963_(cropped).jpg,/wiki/Kool_%26_the_Gang
262,2024,,Ozzy Osbourne[188],,First nomination,Jack Black,Ozzy Osbourne,/wiki/File:OzzyChangingHands02-20-2010.jpg,/wiki/Ozzy_Osbourne
263,2024,,A Tribe Called Quest[188],"Ali Shaheed Muhammad, Phife Dawg, Q-Tip, and Jarobi White.[190][192]","2 (2022, 2023)",Dave Chappelle,A Tribe Called Quest,/wiki/File:Tribe_2009.jpg,/wiki/A_Tribe_Called_Quest
264,2025,,Bad Company[193],"Boz Burrell, Simon Kirke, Mick Ralphs, and Paul Rodgers.[194]",First nomination,,Bad Company,/wiki/File:Bad_Company_-_1976.jpg,/wiki/Bad_Company
265,2025,,Chubby Checker[193],,First nomination,,Chubby Checker,/wiki/File:WIKI_CHUBBY_CHECKER_1.jpg,/wiki/Chubby_Checker
266,2025,,Joe Cocker[193],,First nomination,,Joe Cocker,/wiki/File:Joe_cocker_1970.JPG,/wiki/Joe_Cocker
267,2025,,Cyndi Lauper[193],,1 (2023),,Cyndi Lauper,/wiki/File:CyndiLauperRAH260624_(42_of_51)_(53819380830)_(cropped).jpg,/wiki/Cyndi_Lauper
268,2025,,Outkast[193],André 3000 and Big Boi.[195],First nomination,,Outkast,/wiki/File:OutKast_2001.jpg,/wiki/Outkast
269,2025,,Soundgarden[193],"Matt Cameron, Chris Cornell, Ben Shepherd, Kim Thayil, and Hiro Yamamoto.[196]","2 (2020, 2023)",,Soundgarden,/wiki/File:Soundgarden_at_Paramount_Theatre.jpg,/wiki/Soundgarden
270,2025,,The White Stripes[193],Jack White and Meg White.[197][198],1 (2023),,The White Stripes,"/wiki/File:Jack_%26_Meg,_The_White_Stripes.jpg",/wiki/The_White_Stripes
